공시일,종목코드,종목명,시장구분,직접/신탁,취득/처분,취득(처분)예정기간_시작일,취득(처분)예정기간_종료일,신고내역_수량,신고내역_금액,체결내역(누계)_수량,체결내역(누계)_체결수량비율,체결내역(누계)_금액
2018/10/08,039440,에스티아이,KOSDAQ,직접,취득,2018/10/09,2019/01/08,263157,3000000000,263157.0,100.0,2595231830.0
2018/10/10,082920,비츠로셀,KOSDAQ,직접,취득,2018/10/11,2018/12/10,100000,1065000000,100000.0,100.0,1094561550.0
2018/10/10,069540,빛과전자,KOSDAQ,직접,취득,2018/10/11,2019/01/10,662251,5000000000,472524.0,71.35,4211992800.0
2018/10/10,272290,이녹스첨단소재,KOSDAQ,신탁,취득,2018/10/10,2019/04/10,0,5000000000,124699.0,0.0,4957454650.0
2018/10/10,033290,코웰패션,KOSDAQ,직접,취득,2018/10/11,2019/01/10,500000,2330000000,500000.0,100.0,2395784060.0
2018/10/10,251370,와이엠티,KOSDAQ,직접,취득,2018/10/11,2019/01/10,116279,2000000000,116279.0,100.0,1954282600.0
2018/10/10,082210,옵트론텍,KOSDAQ,직접,취득,2018/10/11,2018/12/26,200000,900000000,200000.0,100.0,851311745.0
2018/10/11,100030,인지소프트,KOSDAQ,신탁,취득,2018/10/11,2019/04/11,0,500000000,50810.0,0.0,496057640.0
2018/10/11,255220,SG,KOSDAQ,신탁,취득,2018/10/11,2019/04/10,0,3000000000,278790.0,0.0,2967834550.0
2018/10/11,044450,KSS해운,KOSPI,직접,취득,2018/10/12,2019/01/11,285000,2009250000,285000.0,100.0,1963689550.0
2018/10/12,008370,원풍,KOSDAQ,직접,취득,2018/10/15,2019/01/12,290000,1000000000,290000.0,100.0,1013879775.0
2018/10/12,112240,에스에프씨,KOSDAQ,신탁,취득,2018/10/12,2019/04/11,0,2000000000,477372.0,0.0,1944656140.0
2018/10/12,064960,SNT모티브,KOSPI,신탁,취득,2018/10/12,2019/04/11,0,15000000000,447131.0,0.0,11985963200.0
2018/10/12,050120,ES큐브,KOSDAQ,신탁,취득,2018/10/12,2019/04/12,0,2000000000,2543167.0,0.0,1995721789.0
2018/10/15,171090,선익시스템,KOSDAQ,신탁,취득,2018/10/15,2019/04/15,0,3000000000,382447.0,0.0,2986210430.0
2018/10/15,088130,동아엘텍,KOSDAQ,신탁,취득,2018/10/15,2019/04/15,0,2000000000,250494.0,0.0,1997983240.0
2018/10/16,110990,디아이티,KOSDAQ,신탁,취득,2018/10/16,2019/04/15,0,3000000000,420849.0,0.0,2975937600.0
