,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,top_tier_volume_quote,top_tier_volume_base,top_tier_volume_total,cccagg_volume_quote,cccagg_volume_base,cccagg_volume_total,total_volume_quote,total_volume_base,total_volume_total,volume
2551,2020-05-24,9307.11,8707.14,9186.19,45736.61,412753415.47,8718.49,direct,,979474922.91,2570888714.6,3550363637.51,1239650096.24,4806069879.31,6045719975.55,6169610328.74,17220654384.94,23390264713.69,10067074838.87
2552,2020-05-25,8977.43,8639.46,8718.49,43894.32,386241517.98,8901.48,direct,,1165307879.32,2439544771.66,3604852650.97,1504354036.65,4560080261.4,6064434209.04,7047761210.4,16810974618.06,23858735828.46,10082927152.7
2553,2020-05-26,9011.53,8705.66,8901.48,39855.17,352930782.24,8844.5,direct,,982404429.51,2283898165.12,3266302594.63,1281744055.55,4028140583.57,5309884639.12,6440533413.58,15173108742.54,21613642156.12,9121906769.61
2554,2020-05-27,9222.3,8820.55,8844.5,42022.36,381475134.6,9204.62,direct,,1035240021.6,2629121593.6,3664361523.16,1288848012.99,4374183802.47,5663031815.47,6598432729.64,16202680787.69,22801113517.33,9539738675.39
2555,2020-05-28,9619.34,9112.3,9204.62,56625.62,530613444.11,9579.71,direct,,996792774.77,3080148253.98,4076941028.76,1265688049.69,5112159840.49,6377847890.18,6774120832.88,18552284037.01,25326404869.89,10613689676.24
2556,2020-05-29,9601.43,9344.8,9579.71,40183.32,379875666.16,9424.62,direct,,957589457.56,2700779896.0,3658369447.81,1246171227.72,4216801650.11,5462972877.83,6627061885.59,16593864252.34,23220926137.93,10019882769.05
2557,2020-05-30,9735.73,9340.45,9424.62,24640.28,235049817.45,9699.78,direct,,1061366514.22,1741162888.81,2802529306.04,1437537368.32,2852942457.62,4290479825.94,6652324653.11,11678544916.78,18330869569.89,9330105670.56
2558,2020-05-31,9703.51,9400.25,9699.78,22242.38,212143031.97,9450.47,direct,,1208529883.79,1786450033.98,2994979917.77,1596966503.9,2910354361.08,4507320864.98,6931731491.64,11784205918.63,18715937410.27,10414614887.79
2559,2020-06-01,10359.02,9421.6,9450.47,44485.42,435270237.66,10211.23,direct,,1363738255.83,2800242655.65,4163980809.37,1749478803.55,3906288881.63,5655767787.29,7128081541.15,14586529150.85,21714610589.9,11891383639.84
2560,2020-06-02,10232.25,9344.53,10211.23,82606.91,812990990.27,9523.75,direct,,1288093377.94,3431019317.9,4719112695.84,1528885682.5,5193672872.68,6722558555.18,6602817874.99,18181898171.95,24784716046.94,12780979261.24
2561,2020-06-03,9666.25,9408.56,9523.75,33114.73,316212538.78,9666.06,direct,,962542775.02,1657875440.83,2620418119.19,1165228260.63,2614520566.0,3779748826.62,5064036171.46,10438987445.76,15503023617.22,8034029767.06
2562,2020-06-04,9877.89,9470.9,9666.06,43080.32,418578381.27,9794.55,direct,,917703104.72,1948999090.75,2866702195.47,998419109.76,2628627243.97,3627046353.73,4801233854.36,10310699376.03,15111933132.44,7812956116.04
2563,2020-06-05,9846.54,9611.19,9794.55,41806.08,406449067.36,9622.02,direct,,722149728.2,2185518488.7,2907668216.9,881845720.59,2793416158.98,3675261975.79,241710329149.88,9842554389.12,251552883539.0,7249230349.1
