price_1month,price_3month,price_6month,종목코드,공시일
20850,19300,16500,110790,2019-09-02
2270,2395,3935,222080,2019-09-03
19464,20050,28200,290670,2019-09-03
21450,21550,18200,069260,2019-09-03
8020,7150,11700,289010,2019-09-05
12500,12550,11850,221980,2019-09-05
7100,7410,8140,263690,2019-09-05
9622,8454,10384,290720,2019-09-05
12700,11700,10000,003540,2019-09-09
298014,237371,206366,086900,2019-09-09
9340,9270,8060,003545,2019-09-09
8590,8580,7430,003547,2019-09-09
4630,2975,2485,010660,2019-09-10
2640,2620,2390,003465,2019-09-11
12300,11000,8740,067170,2019-09-17
16150,18950,11550,166090,2019-09-18
240000,260000,133500,012330,2019-09-23
20927,20617,12615,282880,2019-09-23
11928,12597,5031,094940,2019-09-23
3280,2955,1110,004270,2019-09-23
8180,8450,5330,010400,2019-09-25
3795,3595,2440,019990,2019-09-25
2515,2500,1595,250930,2019-09-26
6980,6955,5554,215480,2019-10-01
7273,8990,4817,285490,2019-10-01
45700,43600,28000,064960,2019-10-01
263000,258000,161000,034730,2019-10-01
20300,19850,13800,251970,2019-10-07
9300,8940,6290,251630,2019-10-07
2730,2426,2430,207760,2019-10-07
16550,15550,11600,121600,2019-10-08
72400,73500,76300,268280,2019-10-10
55000,53600,46000,001720,2019-10-16
53100,52900,45600,001725,2019-10-16
16721,16321,18303,003120,2019-10-17
16750,16450,10550,079960,2019-10-22
125000,131000,90100,005380,2019-10-24
125000,131000,90100,005380,2019-10-24
68000,61900,51100,002170,2019-10-25
30450,28300,25550,234340,2019-10-28
30450,28300,25550,234340,2019-10-28
7310,6850,5540,003200,2019-10-28
2250,3100,3400,058970,2019-10-28
4685,4840,3615,092780,2019-10-28
4205,3870,2620,019685,2019-10-28
6140,5840,4795,019680,2019-10-28
11350,10900,8630,007680,2019-10-30
2870,2810,2220,015230,2019-10-30
3030,2865,2065,023000,2019-10-31
11173,15500,14900,187870,2019-10-31
3950,3965,3710,002230,2019-11-05
13250,16750,14450,029460,2019-11-06
9670,9400,10250,000050,2019-11-06
24874,30486,24001,089600,2019-11-08
6220,6250,9080,023150,2019-11-08
15800,17300,19750,099750,2019-11-11
4810,4720,3335,017370,2019-11-12
1995,2025,1590,023460,2019-11-13
4430,4015,3460,105840,2019-11-13
2069,1887,1635,005880,2019-11-13
52500,53250,50750,007700,2019-11-18
52500,53250,50750,007700,2019-11-18
1760,1920,2380,002700,2019-11-19
1285,1295,1300,027360,2019-11-20
3212,3434,3228,114810,2019-11-21
3212,3434,3228,114810,2019-11-21
8110,7040,6890,039010,2019-11-25
3686,3534,3534,002900,2019-11-26
27700,29000,35750,234340,2019-11-26
27700,29000,35750,234340,2019-11-26
3661,4050,4220,043650,2019-11-26
