1m_rv,1w_rv,1y_rv,2w_rv,3m_rv,6m_rv,Date
94.4113585839777,87.7538843588126,87.8698052237219,88.5521134418869,76.1543606897253,68.5090694020346,2018-12-27
89.4738156378748,84.9099911014973,87.4801927735169,88.6666352292474,76.444106911807,68.7871770295172,2018-12-28
89.6058563650691,91.9476517434809,87.5898034027988,90.6973217886623,77.3961018367259,69.122401182251,2018-12-29
87.9666430642715,89.4678668095302,87.1827167296943,92.1385407101321,77.4360585840745,68.2855700057143,2018-12-30
86.6820265903524,83.6295657588843,86.9750914425852,90.7606725284136,77.0732244309736,68.1439790642562,2018-12-31
84.5768725369371,60.9991348662933,86.883498793143,87.358538636723,77.1077112730198,68.1711004560995,2019-01-01
84.4007231488792,64.3252648329496,86.7524336264578,81.8464998173479,77.4434018554815,68.2215407165444,2019-01-02
82.6396020220536,62.7498369869628,86.2761472296066,77.0131622993434,77.5112994797362,68.0957900119234,2019-01-03
81.7501147912396,55.0276340657404,86.2620964281663,72.5703871712063,77.4509986970786,68.0774469832229,2019-01-04
80.5274567549773,38.0110832645724,85.8803402786441,70.3856072754318,77.5302850578528,68.04932575172,2019-01-05
79.9274874335083,40.3946155839384,85.6400546348732,69.8909779633727,77.7610396457506,68.1602499295034,2019-01-06
73.4316127868106,47.1676869955655,85.7412324599123,71.1223959402927,78.3912468561867,68.4778122531433,2019-01-07
73.3355120501133,44.8681992882936,85.4079607018516,55.012841331187,78.3791896621396,68.3450336811682,2019-01-08
